dataset,topology,algorithm,lr,batch_size,tau,gamma,weight_strategy,num_seeds,expected_seeds,acc_seed1,acc_seed2,acc_seed3,avg_preferred_acc_mean,avg_preferred_acc_std,final_retention_rate_mean,final_retention_rate_std
celeba,SFL12,baseline_dropout,0.0005,32,5,0.5,degree,2,3,0.576,0.596,,0.586,0.010000000000000009,0.041666666666666664,0.041666666666666664
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,articulation,2,3,0.6151666666666668,0.6783333333333333,,0.64675,0.0315833333333333,0.20833333333333331,0.12499999999999999
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,articulation_x_kl,1,3,0.6878333333333333,,,0.6878333333333333,0.0,0.16666666666666666,0.0
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,betweenness,2,3,0.5933333333333334,0.5543333333333333,,0.5738333333333334,0.019500000000000017,0.041666666666666664,0.041666666666666664
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,betweenness_x_dropout_risk,2,3,0.5763333333333334,0.64,,0.6081666666666667,0.031833333333333325,0.25,0.16666666666666669
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,betweenness_x_kl,2,3,0.638,0.5728333333333334,,0.6054166666666667,0.0325833333333333,0.25,0.16666666666666669
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,closeness,2,3,0.6913333333333332,0.7658333333333335,,0.7285833333333334,0.037250000000000116,0.4166666666666667,0.0
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,degree,2,3,0.6895000000000001,0.6155,,0.6525000000000001,0.03700000000000003,0.16666666666666666,0.08333333333333334
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,degree_normalized,2,3,0.7650000000000001,0.6878333333333333,,0.7264166666666667,0.038583333333333414,0.33333333333333337,0.08333333333333334
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,degree_x_kl,2,3,0.614,0.7280000000000001,,0.671,0.05700000000000005,0.08333333333333333,0.0
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,dropout_risk,2,3,0.7371666666666666,0.7191666666666667,,0.7281666666666666,0.008999999999999952,0.125,0.041666666666666664
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,eigenvector,2,3,0.6896666666666667,0.7648333333333334,,0.72725,0.03758333333333336,0.375,0.041666666666666685
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,eigenvector_x_kl,2,3,0.6920000000000002,0.6053333333333334,,0.6486666666666667,0.04333333333333339,0.08333333333333333,0.0
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,inverse_entropy,2,3,0.7108333333333333,0.7645000000000001,,0.7376666666666667,0.026833333333333376,0.375,0.041666666666666685
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,kl_divergence,2,3,0.7363333333333334,0.7191666666666667,,0.7277500000000001,0.008583333333333332,0.125,0.041666666666666664
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,pagerank,2,3,0.6893333333333332,0.7650000000000001,,0.7271666666666667,0.03783333333333344,0.33333333333333337,0.08333333333333334
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,pagerank_x_kl,1,3,0.7281666666666667,,,0.7281666666666667,0.0,0.08333333333333333,0.0
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,uniform,2,3,0.6928333333333333,0.7636666666666668,,0.7282500000000001,0.03541666666666676,0.375,0.041666666666666685
celeba,SFL12,nodedrop,0.0005,32,5,0.9524,vertex_connectivity,2,3,0.6891666666666666,0.7651666666666667,,0.7271666666666666,0.038000000000000034,0.375,0.041666666666666685
